travel_date;5_to_7_am;7_to_8_am;8_to_11_am;7_to_11_pm;bus_origin;car_type;max_capacity;nb_passengers
27/11/2017;0;0;1;0;Kisii;shuttle;11;9
27/11/2017;0;0;1;0;Kisii;shuttle;11;11
27/11/2017;0;0;1;0;Kisii;shuttle;11;11
27/11/2017;0;0;1;0;Kisii;shuttle;11;11
27/11/2017;0;0;1;0;Kisii;shuttle;11;11
27/11/2017;0;0;1;0;Kisii;shuttle;11;10
27/11/2017;0;0;1;0;Kisii;shuttle;11;10
27/11/2017;0;0;1;0;Kisii;shuttle;11;11
27/11/2017;0;0;1;0;Kisii;shuttle;11;11
27/11/2017;0;0;1;0;Keroka;shuttle;11;1
27/11/2017;0;0;1;0;Kisii;shuttle;11;9
27/11/2017;0;0;1;0;Kisii;shuttle;11;5
27/11/2017;0;0;1;0;Keroka;shuttle;11;3
27/11/2017;0;0;1;0;Kisii;shuttle;11;8
28/11/2017;1;0;0;0;Kisii;shuttle;11;11
28/11/2017;1;0;0;0;Kisii;shuttle;11;11
28/11/2017;1;0;0;0;Kisii;shuttle;11;11
28/11/2017;1;0;0;0;Kisii;shuttle;11;11
28/11/2017;1;0;0;0;Kisii;shuttle;11;11
28/11/2017;1;0;0;0;Kisii;shuttle;11;11
28/11/2017;1;0;0;0;Kisii;shuttle;11;11
28/11/2017;1;0;0;0;Kisii;shuttle;11;4
28/11/2017;1;0;0;0;Kisii;shuttle;11;11
28/11/2017;1;0;0;0;Kisii;shuttle;11;9
28/11/2017;1;0;0;0;Kisii;shuttle;11;11
28/11/2017;1;0;0;0;Kisii;shuttle;11;11
28/11/2017;0;1;0;0;Kisii;shuttle;11;10
28/11/2017;0;1;0;0;Kisii;Bus;49;7
28/11/2017;0;1;0;0;Homa Bay;Bus;49;4
28/11/2017;0;1;0;0;Keroka;Bus;49;1
28/11/2017;0;1;0;0;Kisii;Bus;49;8
28/11/2017;0;1;0;0;Migori;Bus;49;3
28/11/2017;0;1;0;0;Homa Bay;Bus;49;10
28/11/2017;0;1;0;0;Kisii;Bus;49;2
28/11/2017;0;1;0;0;Kisii;shuttle;11;9
28/11/2017;0;1;0;0;Migori;Bus;49;11
28/11/2017;0;1;0;0;Kisii;Bus;49;1
28/11/2017;0;1;0;0;Kisii;shuttle;11;11
28/11/2017;0;1;0;0;Kisii;shuttle;11;11
28/11/2017;0;1;0;0;Kisii;shuttle;11;11
28/11/2017;0;1;0;0;Kisii;shuttle;11;10
28/11/2017;0;0;1;0;Kisii;shuttle;11;11
28/11/2017;0;0;1;0;Kisii;shuttle;11;9
28/11/2017;0;0;1;0;Kisii;shuttle;11;2
28/11/2017;0;0;1;0;Keroka;shuttle;11;1
28/11/2017;0;0;1;0;Kisii;shuttle;11;4
28/11/2017;0;0;1;0;Keroka;shuttle;11;1
29/11/2017;1;0;0;0;Kisii;shuttle;11;1
29/11/2017;1;0;0;0;Kisii;shuttle;11;9
29/11/2017;1;0;0;0;Kisii;shuttle;11;1
29/11/2017;1;0;0;0;Keroka;shuttle;11;1
29/11/2017;1;0;0;0;Kisii;shuttle;11;4
29/11/2017;1;0;0;0;Kisii;shuttle;11;7
29/11/2017;1;0;0;0;Kisii;shuttle;11;11
29/11/2017;1;0;0;0;Kisii;shuttle;11;7
29/11/2017;1;0;0;0;Kisii;shuttle;11;2
29/11/2017;1;0;0;0;Kisii;shuttle;11;1
29/11/2017;0;1;0;0;Rongo;Bus;49;1
29/11/2017;0;1;0;0;Homa Bay;Bus;49;11
29/11/2017;0;1;0;0;Rongo;Bus;49;4
29/11/2017;0;1;0;0;Keroka;Bus;49;1
29/11/2017;0;1;0;0;Kisii;Bus;49;20
29/11/2017;0;1;0;0;Kisii;Bus;49;4
29/11/2017;0;1;0;0;Migori;Bus;49;1
29/11/2017;0;1;0;0;Homa Bay;Bus;49;5
29/11/2017;0;1;0;0;Kisii;Bus;49;4
29/11/2017;0;1;0;0;Kisii;Bus;49;18
29/11/2017;0;1;0;0;Migori;Bus;49;6
29/11/2017;0;1;0;0;Rongo;Bus;49;1
29/11/2017;0;1;0;0;Migori;Bus;49;8
29/11/2017;0;1;0;0;Kisii;shuttle;11;3
29/11/2017;0;1;0;0;Kisii;shuttle;11;11
29/11/2017;0;1;0;0;Kisii;shuttle;11;3
29/11/2017;0;0;1;0;Kisii;shuttle;11;1
29/11/2017;0;0;1;0;Kisii;shuttle;11;1
29/11/2017;0;0;1;0;Kisii;shuttle;11;9
29/11/2017;0;0;1;0;Kisii;shuttle;11;8
29/11/2017;0;0;1;0;Kisii;shuttle;11;8
29/11/2017;0;0;1;0;Kisii;shuttle;11;11
29/11/2017;0;0;1;0;Kisii;shuttle;11;9
29/11/2017;0;0;1;0;Kisii;shuttle;11;10
29/11/2017;0;0;1;0;Kisii;shuttle;11;4
29/11/2017;0;0;1;0;Kisii;shuttle;11;9
29/11/2017;0;0;1;0;Kisii;shuttle;11;11
29/11/2017;0;0;1;0;Kisii;shuttle;11;8
29/11/2017;0;0;1;0;Kisii;shuttle;11;5
29/11/2017;0;0;1;0;Kisii;shuttle;11;1
29/11/2017;0;0;1;0;Kisii;shuttle;11;5
29/11/2017;0;0;1;0;Kisii;shuttle;11;11
29/11/2017;0;0;1;0;Kisii;shuttle;11;9
29/11/2017;0;0;1;0;Kisii;shuttle;11;4
29/11/2017;0;0;1;0;Kisii;shuttle;11;1
29/11/2017;0;0;1;0;Kisii;shuttle;11;7
30/11/2017;1;0;0;0;Kisii;shuttle;11;2
30/11/2017;1;0;0;0;Kisii;shuttle;11;1
30/11/2017;1;0;0;0;Kisii;shuttle;11;2
30/11/2017;1;0;0;0;Keumbu;shuttle;11;1
30/11/2017;0;1;0;0;Kisii;Bus;49;4
30/11/2017;0;1;0;0;Kisii;Bus;49;3
30/11/2017;0;1;0;0;Rongo;Bus;49;2
30/11/2017;0;1;0;0;Migori;Bus;49;1
30/11/2017;0;1;0;0;Migori;Bus;49;2
30/11/2017;0;1;0;0;Kisii;shuttle;11;11
30/11/2017;0;0;1;0;Kisii;shuttle;11;2
30/11/2017;0;0;1;0;Kisii;shuttle;11;7
30/11/2017;0;0;1;0;Kisii;shuttle;11;6
30/11/2017;0;0;1;0;Kisii;shuttle;11;4
30/11/2017;0;0;1;0;Kisii;shuttle;11;2
30/11/2017;0;0;1;0;Kisii;shuttle;11;8
30/11/2017;0;0;1;0;Kisii;shuttle;11;3
30/11/2017;0;0;1;0;Kisii;shuttle;11;6
30/11/2017;0;0;1;0;Kisii;shuttle;11;1
30/11/2017;0;0;1;0;Kisii;shuttle;11;2
30/11/2017;0;0;1;0;Kisii;shuttle;11;1
30/11/2017;0;0;1;0;Kisii;shuttle;11;2
30/11/2017;0;0;1;0;Kisii;shuttle;11;8
30/11/2017;0;0;1;0;Kisii;shuttle;11;5
01/12/2017;1;0;0;0;Keumbu;shuttle;11;1
01/12/2017;1;0;0;0;Kisii;shuttle;11;10
01/12/2017;1;0;0;0;Kisii;shuttle;11;10
01/12/2017;1;0;0;0;Kisii;shuttle;11;11
01/12/2017;1;0;0;0;Keroka;shuttle;11;11
01/12/2017;1;0;0;0;Kisii;shuttle;11;1
01/12/2017;1;0;0;0;Keroka;shuttle;11;11
01/12/2017;1;0;0;0;Keroka;shuttle;11;11
01/12/2017;1;0;0;0;Keroka;shuttle;11;11
01/12/2017;1;0;0;0;Keroka;shuttle;11;11
01/12/2017;1;0;0;0;Keroka;shuttle;11;9
01/12/2017;1;0;0;0;Keroka;shuttle;11;10
01/12/2017;1;0;0;0;Keroka;shuttle;11;11
01/12/2017;1;0;0;0;Keroka;shuttle;11;10
01/12/2017;1;0;0;0;Kisii;shuttle;11;1
01/12/2017;0;1;0;0;Rongo;Bus;49;1
01/12/2017;0;1;0;0;Rongo;Bus;49;5
01/12/2017;0;1;0;0;Kisii;Bus;49;8
01/12/2017;0;1;0;0;Kisii;Bus;49;1
01/12/2017;0;1;0;0;Rongo;Bus;49;3
01/12/2017;0;1;0;0;Rongo;Bus;49;1
01/12/2017;0;1;0;0;Migori;Bus;49;1
01/12/2017;0;1;0;0;Rongo;Bus;49;1
01/12/2017;0;0;1;0;Kisii;shuttle;11;6
01/12/2017;0;0;1;0;Kisii;shuttle;11;7
01/12/2017;0;0;1;0;Kisii;shuttle;11;8
01/12/2017;0;0;1;0;Kisii;shuttle;11;11
01/12/2017;0;0;1;0;Kisii;shuttle;11;9
01/12/2017;0;0;1;0;Kisii;shuttle;11;7
01/12/2017;0;0;1;0;Kisii;shuttle;11;8
01/12/2017;0;0;1;0;Kisii;shuttle;11;5
01/12/2017;0;0;1;0;Kisii;shuttle;11;5
01/12/2017;0;0;1;0;Kisii;shuttle;11;7
01/12/2017;0;0;1;0;Kisii;shuttle;11;3
01/12/2017;0;0;1;0;Kisii;shuttle;11;3
01/12/2017;0;0;1;0;Kisii;shuttle;11;3
01/12/2017;0;0;1;0;Kisii;shuttle;11;11
01/12/2017;0;0;1;0;Kisii;shuttle;11;10
01/12/2017;0;0;1;0;Kisii;shuttle;11;9
01/12/2017;0;0;1;0;Kisii;shuttle;11;9
01/12/2017;0;0;1;0;Kisii;shuttle;11;8
01/12/2017;0;0;1;0;Kisii;shuttle;11;4
01/12/2017;0;0;1;0;Kisii;shuttle;11;9
01/12/2017;0;0;1;0;Kisii;shuttle;11;10
01/12/2017;0;0;1;0;Kisii;shuttle;11;7
01/12/2017;0;0;1;0;Kisii;shuttle;11;9
01/12/2017;0;0;1;0;Kisii;shuttle;11;8
01/12/2017;0;0;1;0;Kisii;shuttle;11;8
01/12/2017;0;0;1;0;Keroka;shuttle;11;11
01/12/2017;0;0;1;0;Kisii;shuttle;11;9
01/12/2017;0;0;1;0;Kisii;shuttle;11;6
01/12/2017;0;0;1;0;Kisii;shuttle;11;11
01/12/2017;0;0;1;0;Kisii;shuttle;11;11
01/12/2017;0;0;1;0;Kisii;shuttle;11;11
01/12/2017;0;0;1;0;Kisii;shuttle;11;10
01/12/2017;0;0;1;0;Kisii;shuttle;11;3
01/12/2017;0;0;1;0;Kisii;shuttle;11;10
01/12/2017;0;0;1;0;Kisii;shuttle;11;10
01/12/2017;0;0;1;0;Kisii;shuttle;11;8
02/12/2017;1;0;0;0;Kisii;shuttle;11;4
02/12/2017;1;0;0;0;Keumbu;shuttle;11;1
02/12/2017;1;0;0;0;Kisii;shuttle;11;3
02/12/2017;1;0;0;0;Kisii;shuttle;11;2
02/12/2017;1;0;0;0;Kisii;shuttle;11;1
02/12/2017;0;1;0;0;Rongo;Bus;49;9
02/12/2017;0;1;0;0;Rongo;Bus;49;3
02/12/2017;0;1;0;0;Keroka;Bus;49;3
02/12/2017;0;1;0;0;Kisii;Bus;49;3
02/12/2017;0;1;0;0;Kisii;Bus;49;23
02/12/2017;0;1;0;0;Rongo;Bus;49;3
02/12/2017;0;1;0;0;Kisii;shuttle;11;5
02/12/2017;0;0;1;0;Kisii;shuttle;11;1
02/12/2017;0;0;1;0;Kisii;shuttle;11;1
02/12/2017;0;0;1;0;Kisii;shuttle;11;2
02/12/2017;0;0;1;0;Kisii;shuttle;11;3
02/12/2017;0;0;1;0;Kisii;shuttle;11;2
02/12/2017;0;0;1;0;Kisii;shuttle;11;1
02/12/2017;0;0;1;0;Kisii;shuttle;11;1
03/12/2017;1;0;0;0;Kisii;shuttle;11;1
03/12/2017;1;0;0;0;Keumbu;shuttle;11;1
03/12/2017;1;0;0;0;Keumbu;shuttle;11;1
03/12/2017;1;0;0;0;Keroka;shuttle;11;2
03/12/2017;0;1;0;0;Keroka;Bus;49;1
03/12/2017;0;1;0;0;Kisii;Bus;49;1
03/12/2017;0;1;0;0;Rongo;Bus;49;1
03/12/2017;0;1;0;0;Rongo;Bus;49;3
03/12/2017;0;0;1;0;Kisii;shuttle;11;2
03/12/2017;0;0;1;0;Kisii;shuttle;11;10
03/12/2017;0;0;1;0;Kisii;shuttle;11;9
03/12/2017;0;0;1;0;Kisii;shuttle;11;5
03/12/2017;0;0;1;0;Kisii;shuttle;11;7
03/12/2017;0;0;1;0;Kisii;shuttle;11;5
03/12/2017;0;0;1;0;Kisii;shuttle;11;11
03/12/2017;0;0;1;0;Kisii;shuttle;11;9
03/12/2017;0;0;1;0;Kisii;shuttle;11;6
03/12/2017;0;0;1;0;Kisii;shuttle;11;11
03/12/2017;0;0;1;0;Kisii;shuttle;11;5
03/12/2017;0;0;1;0;Kisii;shuttle;11;7
03/12/2017;0;0;1;0;Kisii;shuttle;11;4
03/12/2017;0;0;1;0;Kisii;shuttle;11;1
03/12/2017;0;0;1;0;Kisii;shuttle;11;6
03/12/2017;0;0;1;0;Kisii;shuttle;11;6
03/12/2017;0;0;1;0;Kisii;shuttle;11;10
03/12/2017;0;0;1;0;Kisii;shuttle;11;6
03/12/2017;0;0;1;0;Kisii;shuttle;11;11
03/12/2017;0;0;1;0;Kisii;shuttle;11;10
04/12/2017;1;0;0;0;Keroka;shuttle;11;4
04/12/2017;1;0;0;0;Keumbu;shuttle;11;1
04/12/2017;1;0;0;0;Kisii;shuttle;11;4
04/12/2017;1;0;0;0;Kisii;shuttle;11;1
04/12/2017;1;0;0;0;Kisii;shuttle;11;2
04/12/2017;1;0;0;0;Kijauri;shuttle;11;1
04/12/2017;1;0;0;0;Kisii;shuttle;11;1
04/12/2017;0;1;0;0;Kijauri;shuttle;11;5
04/12/2017;0;1;0;0;Kisii;Bus;49;26
04/12/2017;0;1;0;0;Rongo;Bus;49;3
04/12/2017;0;1;0;0;Homa Bay;Bus;49;1
04/12/2017;0;1;0;0;Rongo;Bus;49;5
04/12/2017;0;1;0;0;Kijauri;Bus;49;1
04/12/2017;0;1;0;0;Kisii;Bus;49;30
04/12/2017;0;1;0;0;Kijauri;Bus;49;3
04/12/2017;0;1;0;0;Kisii;Bus;49;24
04/12/2017;0;1;0;0;Homa Bay;Bus;49;25
04/12/2017;0;1;0;0;Kisii;Bus;49;1
04/12/2017;0;1;0;0;Homa Bay;Bus;49;1
04/12/2017;0;1;0;0;Homa Bay;Bus;49;1
04/12/2017;0;1;0;0;Migori;Bus;49;15
04/12/2017;0;1;0;0;Rongo;Bus;49;3
04/12/2017;0;1;0;0;Rongo;Bus;49;11
04/12/2017;0;1;0;0;Kisii;Bus;49;9
04/12/2017;0;1;0;0;Kisii;shuttle;11;4
04/12/2017;0;1;0;0;Kisii;shuttle;11;5
04/12/2017;0;1;0;0;Kisii;shuttle;11;4
04/12/2017;0;0;1;0;Kisii;shuttle;11;5
04/12/2017;0;0;1;0;Kisii;shuttle;11;8
04/12/2017;0;0;1;0;Kisii;shuttle;11;7
04/12/2017;0;0;1;0;Kisii;shuttle;11;7
04/12/2017;0;0;1;0;Kisii;shuttle;11;7
04/12/2017;0;0;1;0;Kisii;shuttle;11;6
04/12/2017;0;0;1;0;Kisii;shuttle;11;5
04/12/2017;0;0;1;0;Kisii;shuttle;11;4
04/12/2017;0;0;1;0;Kisii;shuttle;11;11
04/12/2017;0;0;1;0;Kisii;shuttle;11;6
04/12/2017;0;0;1;0;Kisii;shuttle;11;4
04/12/2017;0;0;1;0;Kisii;shuttle;11;9
04/12/2017;0;0;1;0;Kisii;shuttle;11;9
04/12/2017;0;0;1;0;Kisii;shuttle;11;8
04/12/2017;0;0;1;0;Kisii;shuttle;11;6
04/12/2017;0;0;1;0;Kisii;shuttle;11;11
04/12/2017;0;0;1;0;Kisii;shuttle;11;11
04/12/2017;0;0;1;0;Kisii;shuttle;11;11
05/12/2017;1;0;0;0;Keumbu;shuttle;11;2
05/12/2017;1;0;0;0;Kisii;shuttle;11;1
05/12/2017;1;0;0;0;Keumbu;shuttle;11;1
05/12/2017;1;0;0;0;Keumbu;shuttle;11;1
05/12/2017;1;0;0;0;Keroka;shuttle;11;1
05/12/2017;0;1;0;0;Rongo;Bus;49;6
05/12/2017;0;1;0;0;Kisii;Bus;49;2
05/12/2017;0;1;0;0;Oyugis;Bus;49;1
05/12/2017;0;1;0;0;Rongo;Bus;49;10
05/12/2017;0;1;0;0;Homa Bay;Bus;49;23
05/12/2017;0;1;0;0;Rongo;Bus;49;5
05/12/2017;0;1;0;0;Kisii;Bus;49;1
05/12/2017;0;1;0;0;Keroka;Bus;49;6
05/12/2017;0;1;0;0;Kijauri;Bus;49;10
05/12/2017;0;1;0;0;Kisii;Bus;49;10
05/12/2017;0;1;0;0;Kisii;Bus;49;15
05/12/2017;0;1;0;0;Migori;Bus;49;2
05/12/2017;0;1;0;0;Rongo;Bus;49;2
05/12/2017;0;1;0;0;Awendo;Bus;49;2
05/12/2017;0;1;0;0;Homa Bay;Bus;49;27
05/12/2017;0;1;0;0;Rongo;Bus;49;4
05/12/2017;0;1;0;0;Homa Bay;Bus;49;8
05/12/2017;0;1;0;0;Kisii;Bus;49;30
05/12/2017;0;1;0;0;Migori;Bus;49;25
05/12/2017;0;1;0;0;Rongo;Bus;49;21
05/12/2017;0;1;0;0;Kisii;Bus;49;9
05/12/2017;0;1;0;0;Migori;Bus;49;21
05/12/2017;0;1;0;0;Kisii;shuttle;11;1
05/12/2017;0;0;1;0;Kisii;shuttle;11;10
05/12/2017;0;0;1;0;Kisii;shuttle;11;6
05/12/2017;0;0;1;0;Kisii;shuttle;11;6
05/12/2017;0;0;1;0;Kisii;shuttle;11;8
05/12/2017;0;0;1;0;Keroka;shuttle;11;2
05/12/2017;0;0;1;0;Kisii;shuttle;11;5
05/12/2017;0;0;1;0;Kisii;shuttle;11;11
05/12/2017;0;0;1;0;Kisii;shuttle;11;11
05/12/2017;0;0;1;0;Kisii;shuttle;11;11
05/12/2017;0;0;1;0;Kisii;shuttle;11;11
05/12/2017;0;0;1;0;Kisii;shuttle;11;11
05/12/2017;0;0;1;0;Kisii;shuttle;11;10
05/12/2017;0;0;1;0;Kisii;shuttle;11;8
05/12/2017;0;0;1;0;Kisii;shuttle;11;11
05/12/2017;0;0;1;0;Kisii;shuttle;11;10
05/12/2017;0;0;1;0;Kisii;shuttle;11;11
05/12/2017;0;0;1;0;Kisii;shuttle;11;9
05/12/2017;0;0;1;0;Kisii;shuttle;11;11
05/12/2017;0;0;1;0;Kisii;shuttle;11;7
05/12/2017;0;0;1;0;Kisii;shuttle;11;11
05/12/2017;0;0;1;0;Kisii;shuttle;11;8
05/12/2017;0;0;1;0;Kisii;shuttle;11;10
05/12/2017;0;0;1;0;Kisii;shuttle;11;11
05/12/2017;0;0;1;0;Kisii;shuttle;11;11
05/12/2017;0;0;1;0;Kisii;shuttle;11;10
05/12/2017;0;0;1;0;Kisii;shuttle;11;11
05/12/2017;0;0;1;0;Kisii;shuttle;11;10
06/12/2017;1;0;0;0;Keroka;shuttle;11;8
06/12/2017;1;0;0;0;Kijauri;shuttle;11;1
06/12/2017;1;0;0;0;Kisii;shuttle;11;3
06/12/2017;1;0;0;0;Keroka;shuttle;11;11
06/12/2017;1;0;0;0;Keroka;shuttle;11;11
06/12/2017;1;0;0;0;Keroka;shuttle;11;11
06/12/2017;1;0;0;0;Keroka;shuttle;11;11
06/12/2017;1;0;0;0;Keroka;shuttle;11;11
06/12/2017;1;0;0;0;Keroka;shuttle;11;11
06/12/2017;1;0;0;0;Keroka;shuttle;11;11
06/12/2017;1;0;0;0;Kijauri;shuttle;11;1
06/12/2017;1;0;0;0;Keroka;shuttle;11;11
06/12/2017;1;0;0;0;Keroka;shuttle;11;11
06/12/2017;1;0;0;0;Kisii;shuttle;11;11
06/12/2017;1;0;0;0;Keroka;shuttle;11;9
06/12/2017;1;0;0;0;Kisii;shuttle;11;2
06/12/2017;0;1;0;0;Keroka;shuttle;11;5
06/12/2017;0;1;0;0;Rongo;Bus;49;3
06/12/2017;0;1;0;0;Kijauri;shuttle;11;3
06/12/2017;0;1;0;0;Kisii;shuttle;11;3
06/12/2017;0;1;0;0;Oyugis;Bus;49;4
06/12/2017;0;1;0;0;Keroka;Bus;49;1
06/12/2017;0;1;0;0;Rongo;Bus;49;6
06/12/2017;0;1;0;0;Homa Bay;Bus;49;26
06/12/2017;0;1;0;0;Rongo;Bus;49;10
06/12/2017;0;1;0;0;Keroka;Bus;49;1
06/12/2017;0;1;0;0;Kijauri;Bus;49;6
06/12/2017;0;1;0;0;Kisii;Bus;49;11
06/12/2017;0;1;0;0;Keroka;Bus;49;4
06/12/2017;0;1;0;0;Keumbu;Bus;49;1
06/12/2017;0;1;0;0;Kisii;Bus;49;10
06/12/2017;0;1;0;0;Homa Bay;Bus;49;15
06/12/2017;0;1;0;0;Rongo;Bus;49;5
06/12/2017;0;1;0;0;Keroka;shuttle;11;6
06/12/2017;0;1;0;0;Kisii;Bus;49;27
06/12/2017;0;1;0;0;Kisii;shuttle;11;5
06/12/2017;0;1;0;0;Rongo;Bus;49;1
06/12/2017;0;1;0;0;Kisii;Bus;49;3
06/12/2017;0;1;0;0;Migori;Bus;49;26
06/12/2017;0;1;0;0;Rongo;Bus;49;1
06/12/2017;0;1;0;0;Rongo;Bus;49;2
06/12/2017;0;1;0;0;Rongo;Bus;49;9
06/12/2017;0;1;0;0;Kisii;Bus;49;1
06/12/2017;0;1;0;0;Migori;Bus;49;33
06/12/2017;0;1;0;0;Kisii;Bus;49;1
06/12/2017;0;1;0;0;Keroka;shuttle;11;6
06/12/2017;0;1;0;0;Kisii;shuttle;11;5
06/12/2017;0;1;0;0;Keroka;shuttle;11;5
06/12/2017;0;1;0;0;Kijauri;shuttle;11;3
06/12/2017;0;1;0;0;Kisii;shuttle;11;5
06/12/2017;0;1;0;0;Keroka;shuttle;11;6
06/12/2017;0;1;0;0;Kisii;shuttle;11;5
06/12/2017;0;1;0;0;Keroka;shuttle;11;4
06/12/2017;0;1;0;0;Kijauri;shuttle;11;2
06/12/2017;0;1;0;0;Kisii;shuttle;11;6
06/12/2017;0;0;1;0;Keroka;shuttle;11;3
06/12/2017;0;0;1;0;Kisii;shuttle;11;8
06/12/2017;0;0;1;0;Keroka;shuttle;11;10
06/12/2017;0;0;1;0;Kisii;shuttle;11;2
06/12/2017;0;0;1;0;Kisii;shuttle;11;11
06/12/2017;0;0;1;0;Keroka;shuttle;11;5
06/12/2017;0;0;1;0;Kisii;shuttle;11;8
06/12/2017;0;0;1;0;Keroka;shuttle;11;4
06/12/2017;0;0;1;0;Kisii;shuttle;11;11
06/12/2017;0;0;1;0;Keroka;shuttle;11;4
06/12/2017;0;0;1;0;Kijauri;shuttle;11;1
06/12/2017;0;0;1;0;Kisii;shuttle;11;10
06/12/2017;0;0;1;0;Keroka;shuttle;11;11
06/12/2017;0;0;1;0;Kisii;shuttle;11;11
06/12/2017;0;0;1;0;Keroka;shuttle;11;5
06/12/2017;0;0;1;0;Kisii;shuttle;11;11
06/12/2017;0;0;1;0;Kisii;shuttle;11;11
06/12/2017;0;0;1;0;Kijauri;shuttle;11;1
06/12/2017;0;0;1;0;Kisii;shuttle;11;11
06/12/2017;0;0;1;0;Kisii;shuttle;11;11
06/12/2017;0;0;1;0;Kisii;shuttle;11;11
06/12/2017;0;0;1;0;Kisii;shuttle;11;11
06/12/2017;0;0;1;0;Kisii;shuttle;11;11
06/12/2017;0;0;1;0;Kisii;shuttle;11;11
06/12/2017;0;0;1;0;Kisii;shuttle;11;1
07/12/2017;1;0;0;0;Keroka;shuttle;11;10
07/12/2017;1;0;0;0;Kisii;shuttle;11;1
07/12/2017;1;0;0;0;Keroka;shuttle;11;11
07/12/2017;1;0;0;0;Keroka;shuttle;11;11
07/12/2017;1;0;0;0;Keroka;shuttle;11;11
07/12/2017;1;0;0;0;Keroka;shuttle;11;11
07/12/2017;1;0;0;0;Keroka;shuttle;11;11
07/12/2017;1;0;0;0;Keroka;shuttle;11;11
07/12/2017;1;0;0;0;Keroka;shuttle;11;6
07/12/2017;1;0;0;0;Kisii;shuttle;11;5
07/12/2017;1;0;0;0;Kisii;shuttle;11;11
07/12/2017;1;0;0;0;Keroka;shuttle;11;1
07/12/2017;1;0;0;0;Keumbu;shuttle;11;1
07/12/2017;1;0;0;0;Kisii;shuttle;11;9
07/12/2017;1;0;0;0;Kisii;shuttle;11;11
07/12/2017;1;0;0;0;Kijauri;shuttle;11;4
07/12/2017;1;0;0;0;Kisii;shuttle;11;7
07/12/2017;0;1;0;0;Rongo;Bus;49;3
07/12/2017;0;1;0;0;Kisii;shuttle;11;11
07/12/2017;0;1;0;0;Kisii;Bus;49;20
07/12/2017;0;1;0;0;Kisii;Bus;49;8
07/12/2017;0;1;0;0;Rongo;Bus;49;8
07/12/2017;0;1;0;0;Kijauri;Bus;49;1
07/12/2017;0;1;0;0;Homa Bay;Bus;49;28
07/12/2017;0;1;0;0;Rongo;Bus;49;19
07/12/2017;0;1;0;0;Kisii;Bus;49;1
07/12/2017;0;1;0;0;Keroka;Bus;49;1
07/12/2017;0;1;0;0;Kijauri;Bus;49;7
07/12/2017;0;1;0;0;Kisii;Bus;49;14
07/12/2017;0;1;0;0;Kijauri;Bus;49;3
07/12/2017;0;1;0;0;Kisii;Bus;49;11
07/12/2017;0;1;0;0;Migori;Bus;49;5
07/12/2017;0;1;0;0;Rongo;Bus;49;2
07/12/2017;0;1;0;0;Homa Bay;Bus;49;16
07/12/2017;0;1;0;0;Rongo;Bus;49;2
07/12/2017;0;1;0;0;Rongo;Bus;49;7
07/12/2017;0;1;0;0;Kijauri;shuttle;11;2
07/12/2017;0;1;0;0;Kisii;shuttle;11;10
07/12/2017;0;1;0;0;Rongo;Bus;49;1
07/12/2017;0;1;0;0;Kisii;Bus;49;3
07/12/2017;0;1;0;0;Migori;Bus;49;33
07/12/2017;0;1;0;0;Rongo;Bus;49;1
